10天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'688348,昱能科技,20231219,20240103,103.95,120.42,15.84%
'605068,明新旭腾,20220714,20220728,23.56,29.6,25.64%
'002607,中公教育,20220429,20220518,4.58,4.9,6.99%
'300970,华绿生物,20211101,20211115,26.82,28.56,6.49%
'300670,大烨智能,20210902,20210916,9.37,9.49,1.28%
'300265,通光线缆,20210902,20210916,11.6,11.97,3.19%
'002781,奇信退,20210730,20210813,6.95,7.22,3.88%
'002470,金正大,20200206,20200220,2.44,2.71,11.07%
'300049,福瑞股份,20200205,20200219,7.55,8.35,10.60%
'300176,派生科技,20200205,20200219,7.96,8.59,7.91%
'603396,金辰股份,20200205,20200219,22.19,27.44,23.66%
'300083,创世纪,20190131,20190221,2.56,3.29,28.52%
'300115,长盈精密,20190131,20190221,7.56,9.6,26.98%
